Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,BRN,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,15.9482088,16.56138355,20.37424316,20.17914097,17.44771029,17.14112113,18.28386254,17.86578641,20.73657581,23.9418261,27.89961341,33.66906394,41.30592117,50.78231333,51.67420906,64.75534649,77.23569305,68.2238299,48.06327008,41.55986369,34.28224226,35.89260955,48.1871445,41.09533468,44.03735186,46.17418538,51.90910591,65.05645421,79.64706322,75.83969039,78.59178988,112.376292,110.6268757,111.8720613,111.4479363,100,82.94958588,95.52370537,128.9548685,158.0226832,165.4497807,265.3922605,
Bhutan,BTN,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,4.090916287,5.516847444,5.574487341,5.893218851,5.920872958,6.865604731,7.550973273,7.071184313,10.38463867,7.359603923,6.634311395,6.774228782,10.18791296,7.339882436,7.474582067,10.58963854,12.04178905,12.92537468,12.60658234,17.15802426,16.51949668,18.00926864,18.53172602,23.47654317,38.75292887,36.42322725,39.56626893,49.58734259,51.22467741,49.91754396,80.50463668,98.38482319,93.47828753,85.72119579,87.88546304,100,94.52046787,97.00338972,98.77093813,92.53756254,84.79348272,115.0623489,
Botswana,BWA,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,8.066536596,9.647152678,8.40580572,8.737190281,8.305006768,7.824234782,9.98842497,12.88211773,16.92292703,22.48020444,22.68087063,22.60295671,21.98861301,20.56426733,19.10463329,26.40414524,23.80504116,31.19781497,32.07666363,30.59611933,28.7515181,24.99351093,25.49089423,33.82206453,44.64675549,43.67301716,42.63406633,56.18751262,71.99757315,65.32340766,78.1555791,100.471579,110.8790068,115.3932971,111.6038003,100,84.87971829,73.62512183,87.12533431,90.68408419,88.88587777,115.4834637,
Central African Republic,CAF,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,23.44935959,27.39444007,35.66263754,19.55418501,25.14223027,32.60210814,48.26539538,59.00889103,40.75061236,43.47535335,44.63067355,26.82348417,41.99811546,36.28884539,40.23334792,50.30272137,40.83634309,40.61184056,42.30297727,37.86580207,33.80539814,30.91604787,34.67220324,34.09433319,43.69968922,50.56362971,58.51743312,71.92228478,86.68050806,78.01245727,86.68050806,89.56985835,93.46296889,61.58361164,117.1717544,100,115.2313862,141.0687707,174.9903207,174.3520633,171.3566738,170.5398545,
Canada,CAN,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.06801574,40.6763883,46.69906697,47.90802004,51.19079259,56.9086756,52.84310594,52.89146407,56.96517089,65.08143078,74.9576474,83.46414339,90.71525784,97.41618246,76.70039973,93.62179025,107.7921151,110.7345209,110.6139192,110.5073306,100,96.00478021,103.1449202,109.0628005,107.5671198,97.66815285,117.1793793,
Central Europe and the Baltics,CEB,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,9.291713117,11.51083112,6.393167947,4.945337952,5.728086521,4.923394574,5.507963532,7.046884981,8.482100343,11.5942448,12.41010879,13.15512566,16.3217679,17.8470649,18.94615712,25.48316718,30.77281897,33.37428707,31.86870543,25.62550259,29.66475065,27.93652951,27.39475735,30.97141534,39.74091138,52.47031311,61.56022412,75.59773313,100.6404315,68.61198664,94.90220432,119.726664,128.3477145,127.192948,116.7730162,100,95.17191327,104.5558284,119.5938,111.9689178,94.9095063,147.7803782,
China,CHN,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,1.186919635,1.310347658,1.147856216,1.273147236,1.6314617,2.514867556,2.553675037,2.572245487,3.289588661,3.520052714,3.175130404,3.796883373,4.796473588,6.187709844,6.881423309,7.863876739,8.272553743,8.465817956,8.35364612,9.870883311,13.3977468,14.50094846,17.57418285,24.57539626,33.41512033,39.29306737,47.12294723,56.92637265,67.43212235,59.89184111,83.13141609,103.805626,108.2663617,116.100826,116.6511468,100,94.54376905,109.7778831,127.160707,123.7454438,123.0058003,160.0790621,
